fromTime,pm25_skøyen,skøyen_roll_3h,skøyen_roll_12h,pm25_furulund,furulund_roll_3h,furulund_roll_12h,hour,weekday,is_weekend,month,anomaly_skøyen,anomaly_score_skøyen,anomaly_furulund,anomaly_score_furulund
2023-01-06 08:00:00+0100,4.418044,4.288721333333333,5.754873000000001,2.662844,2.5624646666666653,3.8668697499999998,8,4,0,1,1.0,0.27978526673445947,1.0,0.23128215340994418
2023-01-06 09:00:00+0100,4.588472,4.40766,5.39502225,2.560311,2.6203256666666657,3.566598916666667,9,4,0,1,1.0,0.2785591575425364,1.0,0.23174291123410007
2023-01-06 10:00:00+0100,4.005297,4.337271,5.035935916666666,3.77055,2.9979016666666656,3.46627575,10,4,0,1,1.0,0.2826714587887218,1.0,0.23182174611612988
2023-01-06 11:00:00+0100,4.323456,4.305741666666667,4.80665125,6.143903,4.158254666666665,3.5982660833333333,11,4,0,1,1.0,0.281893556780437,1.0,0.22415959949879322
2023-01-06 12:00:00+0100,3.864392,4.064381666666667,4.643346166666666,3.304031,4.4061613333333325,3.523995083333333,12,4,0,1,1.0,0.28317995625662645,1.0,0.2378011567606731
2023-01-06 13:00:00+0100,3.637261,3.9417030000000004,4.52137,2.552142,4.000025333333332,3.3435245000000005,13,4,0,1,1.0,0.28086521173413936,1.0,0.23115913314477432
2023-01-06 14:00:00+0100,3.134639,3.545430666666667,4.34864775,2.737106,2.864426333333332,3.2351034999999997,14,4,0,1,1.0,0.2827957671283715,1.0,0.2319573605763074
2023-01-06 15:00:00+0100,3.299025,3.356975,4.203182916666667,3.188861,2.8260363333333323,3.1762338333333333,15,4,0,1,1.0,0.2884582087051717,1.0,0.23881279204581768
2023-01-06 16:00:00+0100,3.202225,3.2119629999999995,4.021643999999999,4.387075,3.4376806666666653,3.2554382499999996,16,4,0,1,1.0,0.2831465924076711,1.0,0.232467718265993
2023-01-06 17:00:00+0100,3.979708,3.4936526666666663,3.9083865833333333,3.527803,3.7012463333333323,3.321598,17,4,0,1,1.0,0.2769383588278465,1.0,0.23436050377623396
2023-01-06 18:00:00+0100,4.491903,3.8912786666666666,3.930073833333333,3.180111,3.6983296666666656,3.3877132500000005,18,4,0,1,1.0,0.2717573071503548,1.0,0.233739616796168
2023-01-06 19:00:00+0100,4.787944,4.419851666666666,3.977697166666667,5.175464,3.961125999999999,3.599183416666667,19,4,0,1,1.0,0.2694859828273091,1.0,0.22327196509102082
2023-01-06 20:00:00+0100,5.705731,4.995192666666667,4.085004416666667,10.289192,6.214922333333331,4.2347124166666665,20,4,0,1,1.0,0.25980918408320947,1.0,0.18476631787621833
2023-01-06 21:00:00+0100,4.975208,5.156294333333334,4.117232416666666,4.764561,6.743072333333331,4.418399916666666,21,4,0,1,1.0,0.2558529851162683,1.0,0.20183930491601343
2023-01-06 22:00:00+0100,3.835158,4.838699000000001,4.1030541666666664,5.258278,6.770676999999999,4.54237725,22,4,0,1,1.0,0.2501084143874369,1.0,0.19198759378427627
2023-01-06 23:00:00+0100,3.466131,4.092165666666667,4.031610416666667,5.691044,5.2379609999999985,4.504639,23,4,0,1,1.0,0.23130982200637124,1.0,0.18880621509642753
2023-01-07 00:00:00+0100,3.236036,3.5124416666666662,3.9792474166666665,4.808458,5.252593333333332,4.630007916666667,0,5,1,1,1.0,0.2019894121211424,1.0,0.147726819715853
